Timestamp,Diadema,Intensidad_señal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
2025-04-01 23:17:11,Diadema 2,200,0,0,19,1,0,0,0,33,11,8
2025-04-01 23:17:12,Diadema 2,200,0,0,36,1,1,0,1,42,10,3
2025-04-01 23:17:13,Diadema 2,200,0,0,21,3,3,1,0,42,15,2
2025-04-01 23:17:14,Diadema 2,200,0,0,13,2,0,0,0,4,5,1
2025-04-01 23:17:15,Diadema 2,200,0,0,14,1,0,1,0,6,4,1
2025-04-01 23:17:16,Diadema 2,200,0,0,9,1,1,0,1,9,7,0
2025-04-01 23:17:17,Diadema 2,200,0,0,1,1,0,1,0,14,3,1
2025-04-01 23:17:18,Diadema 2,200,0,0,1,1,1,0,0,13,5,0
2025-04-01 23:17:19,Diadema 2,200,0,0,1,1,1,0,0,16,5,0
2025-04-01 23:17:20,Diadema 2,200,0,0,8,1,1,0,1,11,4,1
2025-04-01 23:17:21,Diadema 2,200,0,0,2,1,1,0,1,17,3,1
2025-04-01 23:17:22,Diadema 2,200,0,0,1,1,2,0,0,26,3,1
2025-04-01 23:17:23,Diadema 2,200,0,0,2,1,1,1,0,16,6,2
2025-04-01 23:17:24,Diadema 2,200,0,0,1,1,1,0,1,22,1,1
2025-04-01 23:17:25,Diadema 2,200,0,0,2,0,0,0,0,21,1,1
2025-04-01 23:17:26,Diadema 2,200,0,0,12,7,1,1,3,46,30,12
2025-04-01 23:17:27,Diadema 2,200,0,0,24,3,0,0,2,53,27,12
2025-04-01 23:17:28,Diadema 2,200,0,0,25,4,1,0,4,27,36,7
2025-04-01 23:17:29,Diadema 2,200,0,0,33,2,1,0,2,36,14,25
2025-04-01 23:17:30,Diadema 2,200,0,0,5,1,1,0,1,8,3,2
2025-04-01 23:17:31,Diadema 2,200,0,0,4,1,0,0,1,7,8,1
2025-04-01 23:17:32,Diadema 2,200,0,0,2,0,0,0,1,17,3,0
2025-04-01 23:17:33,Diadema 2,200,0,0,2,1,0,0,0,17,8,1
2025-04-01 23:17:34,Diadema 2,200,0,0,8,1,0,0,1,11,5,0
2025-04-01 23:17:35,Diadema 2,200,0,0,3,0,0,0,0,8,4,1
2025-04-01 23:17:36,Diadema 2,200,0,0,2,1,0,0,0,11,5,1
2025-04-01 23:17:37,Diadema 2,200,0,0,2,2,1,0,0,21,5,1
2025-04-01 23:17:38,Diadema 2,200,0,0,4,1,1,0,0,6,3,2
2025-04-01 23:17:39,Diadema 2,200,0,0,1,0,0,0,0,13,5,0
2025-04-01 23:17:40,Diadema 2,200,0,0,2,0,0,0,1,21,2,1
2025-04-01 23:17:41,Diadema 2,200,0,0,0,1,0,0,0,22,4,0
2025-04-01 23:17:42,Diadema 2,200,0,0,10,7,0,0,1,44,20,11
2025-04-01 23:17:43,Diadema 2,200,0,0,17,5,0,1,8,48,15,15
2025-04-01 23:17:44,Diadema 2,200,0,0,16,7,0,2,5,25,17,8
2025-04-01 23:17:45,Diadema 2,200,0,0,20,7,0,1,1,30,13,9
2025-04-01 23:17:46,Diadema 2,200,0,0,30,2,1,1,2,35,36,10
2025-04-01 23:17:47,Diadema 2,200,0,0,39,3,0,0,1,33,11,5
2025-04-01 23:17:48,Diadema 2,200,0,0,14,1,1,0,1,3,2,0
2025-04-01 23:17:49,Diadema 2,200,0,0,1,0,0,0,0,0,0,0
2025-04-01 23:17:50,Diadema 2,200,0,0,4,2,0,1,1,8,3,2
2025-04-01 23:17:51,Diadema 2,200,0,0,0,1,0,1,1,21,1,0
2025-04-01 23:17:52,Diadema 2,200,0,0,1,1,2,1,0,16,5,0
2025-04-01 23:17:53,Diadema 2,200,0,0,13,9,4,0,1,43,27,3
2025-04-01 23:17:54,Diadema 2,200,0,0,1,0,0,0,0,2,1,0
2025-04-01 23:17:55,Diadema 2,200,0,0,2,3,1,0,1,13,3,0
