Timestamp,Diadema,Intensidad_señal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
2025-04-01 23:16:49,Diadema 2,,,,,,,,,,,
2025-04-01 23:16:50,Diadema 2,80,0,0,7,10,0,0,1,60,20,6
2025-04-01 23:16:51,Diadema 2,80,0,0,7,1,0,0,0,11,5,0
2025-04-01 23:16:52,Diadema 2,80,0,0,5,4,0,0,0,4,4,1
2025-04-01 23:16:53,Diadema 2,80,0,0,1,1,1,0,0,11,3,3
2025-04-01 23:16:54,Diadema 2,200,0,0,1,0,0,0,0,25,2,1
2025-04-01 23:16:55,Diadema 2,200,0,0,1,1,1,0,0,20,5,1
2025-04-01 23:16:56,Diadema 2,200,0,0,19,9,5,1,2,35,28,7
2025-04-01 23:16:57,Diadema 2,200,0,0,4,1,0,0,0,12,4,1
2025-04-01 23:16:58,Diadema 2,200,0,0,6,2,1,0,0,7,4,1
2025-04-01 23:16:59,Diadema 2,200,0,0,3,0,0,0,1,18,2,2
2025-04-01 23:17:00,Diadema 2,200,0,0,4,11,2,1,2,49,26,3
2025-04-01 23:17:01,Diadema 2,200,0,0,6,4,3,2,0,57,22,22
2025-04-01 23:17:02,Diadema 2,200,0,0,3,6,2,1,1,72,7,14
2025-04-01 23:17:03,Diadema 2,200,0,0,10,9,1,1,3,57,20,12
2025-04-01 23:17:04,Diadema 2,200,0,0,32,1,5,0,5,38,15,6
2025-04-01 23:17:05,Diadema 2,200,0,0,41,3,1,5,2,20,18,7
2025-04-01 23:17:06,Diadema 2,200,0,0,33,6,2,1,4,30,22,7
2025-04-01 23:17:07,Diadema 2,200,0,0,24,5,1,2,2,20,11,4
2025-04-01 23:17:08,Diadema 2,200,0,0,16,7,0,2,3,20,14,20
2025-04-01 23:17:09,Diadema 2,200,0,0,22,2,1,1,2,37,22,10
2025-04-01 23:17:10,Diadema 2,200,0,0,43,2,2,1,3,30,18,10
