Timestamp,Diadema,Intensidad_señal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
2025-04-01 23:16:50,Diadema 1,,,,,,,,,,,
2025-04-01 23:16:51,Diadema 1,80,0,0,32,2,2,1,1,40,12,9
2025-04-01 23:16:52,Diadema 1,80,0,0,28,1,2,2,4,46,35,5
2025-04-01 23:16:53,Diadema 1,80,0,0,26,2,2,1,3,25,39,5
2025-04-01 23:16:54,Diadema 1,80,0,0,37,1,4,2,3,55,25,2
2025-04-01 23:16:55,Diadema 1,200,0,0,42,1,3,4,1,29,14,8
2025-04-01 23:16:56,Diadema 1,200,0,0,7,15,1,5,5,66,12,7
2025-04-01 23:16:57,Diadema 1,200,0,0,10,1,1,1,1,3,7,2
2025-04-01 23:16:58,Diadema 1,200,0,0,5,1,1,0,1,13,6,2
2025-04-01 23:16:59,Diadema 1,200,0,0,3,1,0,0,0,7,4,1
2025-04-01 23:17:00,Diadema 1,200,0,0,1,1,1,0,0,18,4,2
2025-04-01 23:17:01,Diadema 1,200,0,0,2,1,0,0,0,18,2,0
2025-04-01 23:17:02,Diadema 1,200,0,0,3,3,1,1,0,10,3,1
2025-04-01 23:17:03,Diadema 1,200,0,0,3,1,0,0,0,25,2,1
2025-04-01 23:17:04,Diadema 1,200,0,0,4,3,0,0,0,9,4,1
2025-04-01 23:17:05,Diadema 1,200,0,0,6,0,0,0,0,6,8,1
2025-04-01 23:17:06,Diadema 1,200,0,0,4,1,0,0,1,6,2,2
2025-04-01 23:17:07,Diadema 1,200,0,0,3,1,0,0,0,14,2,2
2025-04-01 23:17:08,Diadema 1,200,0,0,4,0,1,0,0,17,4,2
2025-04-01 23:17:09,Diadema 1,200,0,0,1,1,0,0,0,24,2,1
2025-04-01 23:17:10,Diadema 1,200,0,0,0,1,2,1,0,21,5,1
2025-04-01 23:17:11,Diadema 1,200,0,0,1,1,1,0,0,23,4,1
2025-04-01 23:17:12,Diadema 1,200,0,0,6,7,6,3,0,56,30,10
2025-04-01 23:17:13,Diadema 1,200,0,0,8,6,10,8,3,45,9,6
2025-04-01 23:17:14,Diadema 1,200,0,0,4,0,1,0,3,22,3,1
2025-04-01 23:17:15,Diadema 1,200,0,0,4,0,1,0,0,11,4,1
2025-04-01 23:17:16,Diadema 1,200,0,0,2,0,0,0,0,19,3,2
2025-04-01 23:17:17,Diadema 1,200,0,0,2,2,0,0,0,21,7,1
2025-04-01 23:17:18,Diadema 1,200,0,0,2,0,0,0,0,25,2,2
2025-04-01 23:17:19,Diadema 1,200,0,0,13,1,3,1,4,75,8,8
2025-04-01 23:17:20,Diadema 1,200,0,0,25,1,4,1,0,25,32,3
2025-04-01 23:17:21,Diadema 1,200,0,0,53,0,0,0,1,24,31,20
2025-04-01 23:17:22,Diadema 1,200,0,0,3,2,0,0,0,14,2,0
2025-04-01 23:17:23,Diadema 1,200,0,0,4,2,0,0,0,18,5,0
2025-04-01 23:17:24,Diadema 1,200,0,0,2,0,0,0,0,14,4,1
2025-04-01 23:17:25,Diadema 1,200,0,0,1,1,2,0,0,17,7,0
2025-04-01 23:17:26,Diadema 1,200,0,0,1,1,1,0,0,18,3,0
2025-04-01 23:17:27,Diadema 1,200,0,0,4,0,0,1,2,14,6,0
2025-04-01 23:17:28,Diadema 1,200,0,0,1,2,0,0,1,19,4,1
2025-04-01 23:17:29,Diadema 1,200,0,0,1,1,1,0,0,20,4,0
2025-04-01 23:17:30,Diadema 1,200,0,0,17,3,4,4,6,63,22,10
2025-04-01 23:17:31,Diadema 1,200,0,0,1,1,0,0,0,25,2,1
2025-04-01 23:17:32,Diadema 1,200,0,0,0,1,0,0,1,27,2,1
2025-04-01 23:17:33,Diadema 1,200,0,0,2,1,0,0,1,23,1,2
2025-04-01 23:17:34,Diadema 1,200,0,0,13,7,2,1,5,34,33,12
2025-04-01 23:17:35,Diadema 1,200,0,0,35,3,2,3,3,30,29,7
